"PID", "Sale_Price"
526350040, 114360.34
527105010, 201706.4
527105030, 200106.69
527162130, 189424.81
527166040, 162288.99
527258010, 372611.46
527425090, 100690.19
527452190, 132914.88
527453150, 90982.63
528176010, 423671.67
528180070, 315759.67
528188120, 174615.44
528218150, 183188.76
528240070, 230902.88
528240130, 192060.08
531367050, 224968.9
531453010, 131632.23
532351140, 130320.42
533130160, 308077.3
533212020, 152618.94
533212060, 149670.72
533213030, 283972.37
533253210, 194200.39
534102025, 222631.86
534129040, 187585.46
534151175, 262740.79
534152070, 192933.18
534401110, 142865.85
534401140, 189582.92
534425310, 150525.58
534427010, 185032.78
534450180, 150577.66
535126040, 222614.39
535152250, 150403.34
535175070, 163146.88
535175180, 131051.91
535327140, 95632.16
535425010, 228965.02
535450210, 129645.64
535457090, 156846.51
535477020, 152562.89
902102100, 128678.68
902128170, 127534.29
902207130, 67947.99
902207140, 101889.93
902327040, 139202.5
902402010, 140242.38
902402130, 134940.81
903225150, 97219.52
903227020, 147861.24
903232190, 129809.21
903426180, 157647.44
903426200, 173019.2
903430080, 108073.74
904101110, 179962.69
904300150, 97716.34
904350045, 86754.78
905103060, 180653.96
905109130, 297057.41
905201030, 78079.3
905202090, 139538.4
905352140, 225347.01
905451320, 140375.75
905453040, 147496.63
906378100, 239972.53
906385010, 171380.28
906385020, 163414.45
907180050, 179677.92
907200280, 157126.39
907200340, 135957.92
907401090, 237896.66
908102300, 102473.57
908208020, 129348.35
908226130, 67744.46
909100080, 110975.05
909100110, 115546.52
909176140, 167424.58
909250060, 185694.41
909428280, 317219.72
909452114, 195634.63
909455030, 192094.56
911202100, 117256.26
914475090, 170082.89
914478045, 150494.92
916125360, 176648.38
916386010, 196133.05
916386060, 163625.44
921128020, 348422.35
923204150, 140567.33
923205015, 169198.54
923251080, 158618.4
924100050, 143026.08
527105070, 195377.53
527107130, 171395.71
527146010, 252613.32
527162110, 182908.1
527163070, 218880.44
527163130, 177323.08
527254020, 344841.42
527276160, 207498.89
527302175, 178168.9
527326040, 169158.25
527352150, 184748.74
527354200, 178580.8
527376100, 136086.46
527402220, 136513.8
527404030, 132348.7
527405130, 118590.84
527451320, 96189.4
527451540, 100341.39
527451640, 116231.96
527451650, 125456.35
527452060, 132576.44
527455050, 152649.2
527455060, 151929.42
528106020, 420404.93
528110020, 445365.79
528118060, 379238.06
528120030, 353515.61
528120160, 338201.93
528120170, 317715
528142130, 254535.12
528168030, 290582.76
528174070, 200133.91
528180120, 340193.79
528188060, 179835.85
528221070, 191303.23
528228290, 182055
528228295, 195732.25
528228435, 171576.75
528228455, 147903.47
528235200, 166914.68
528250040, 173059.2
528280230, 217317.51
528290120, 177421.76
528290190, 154606.24
528292030, 271892.08
528292040, 188168.11
528321010, 364315.31
528327070, 360543.97
528344040, 338358.69
528344100, 334415.58
528385050, 278778.41
528390100, 378019.99
528427020, 230997.29
528435030, 273074.26
528441020, 231066.27
528441090, 404516.73
528458160, 355604.44
528477070, 280006.65
528480130, 210593.76
528488100, 182007.55
531363030, 167014.95
531375090, 144989.45
531379050, 226526.41
531382070, 252862.9
531385020, 185782.88
531452010, 114159.08
531452070, 144792.45
531453100, 165272.6
531475220, 181477.88
531479020, 68956.83
532353020, 123109.82
532353130, 132361.68
532354160, 114755.2
532354230, 112025.3
532478020, 298448.59
533135020, 259726.77
533210010, 163372.74
533223030, 171526
533236050, 215040.47
533254050, 224095.07
534125080, 155400.68
534128010, 214894.96
534128020, 219764.06
534129080, 206746.64
534129380, 131780.64
534250400, 200595.46
534275100, 112455.54
534276040, 120132.2
534278230, 162693.82
534451110, 100990.25
534475250, 236937.58
