"PID", "Sale_Price"
526350040, 134878.55
527105010, 186819.22
527105030, 199010.78
527162130, 192623.31
527166040, 174973.59
527258010, 352507.88
527425090, 102698
527452190, 137649.77
527453150, 117279.4
528176010, 414223.22
528180070, 294111.59
528188120, 153673.09
528218150, 169109.59
528240070, 212783.39
528240130, 197742.08
531367050, 228540.17
531453010, 138070.38
532351140, 127069.81
533130160, 312325.19
533212020, 160710.95
533212060, 169080.86
533213030, 204506.94
533253210, 197486.38
534102025, 245435.39
534129040, 164215.55
534151175, 277494.34
534152070, 222498
534401110, 161216.42
534401140, 181967.86
534425310, 146060.22
534427010, 166197.47
534450180, 119149.35
535126040, 252693.8
535152250, 160712.7
535175070, 153104.7
535175180, 135402.83
535327140, 99425.33
535425010, 260903.08
535450210, 128768.16
535457090, 133347.62
535477020, 175998.55
902102100, 135433.31
902128170, 125530.63
902207130, 75113.59
902207140, 122758.8
902327040, 124657.05
902402010, 140804.02
902402130, 110641.06
903225150, 106938.64
903227020, 136649.23
903232190, 132733.64
903426180, 157555.95
903426200, 131017.53
903430080, 109247.49
904101110, 169414.91
904300150, 108500.91
904350045, 103333.34
905103060, 170746.94
905109130, 257477.14
905201030, 67610.7
905202090, 124483.23
905352140, 239502.66
905451320, 133103.81
905453040, 178246.88
906378100, 243927.84
906385010, 193271.66
906385020, 186261.89
907180050, 185252.8
907200280, 147114.42
907200340, 142965.91
907401090, 271807.47
908102300, 109428.04
908208020, 138863.48
908226130, 97990.55
909100080, 101978.3
909100110, 123106.55
909176140, 151405.73
909250060, 180797.12
909428280, 256126
909452114, 210070.7
909455030, 188124.14
911202100, 103136.31
914475090, 171011.97
914478045, 150897.86
916125360, 167107.52
916386010, 190420.56
916386060, 174641.27
921128020, 380238.81
923204150, 142113.91
923205015, 175708.11
923251080, 159314.64
924100050, 138916.25
527105070, 195547.91
527107130, 164112.38
527146010, 262508.06
527162110, 186962.12
527163070, 182769.88
527163130, 190331.97
527254020, 331353.53
527276160, 204190.52
527302175, 172271.98
527326040, 163534.31
527352150, 212888.31
527354200, 163566.03
527376100, 155766.06
527402220, 138607.84
527404030, 138453.23
527405130, 119784.7
527451320, 117359.82
527451540, 107842.83
527451640, 109841.28
527451650, 115730.46
527452060, 135403.84
527455050, 157644.92
527455060, 139656.69
528106020, 480293.47
528110020, 478136.31
528118060, 388088.78
528120030, 337673.34
528120160, 303352.16
528120170, 263539.62
528142130, 224368.22
528168030, 316894.59
528174070, 199159.73
528180120, 340353.09
528188060, 156151.66
528221070, 206443.23
528228290, 215022.56
528228295, 214717.81
528228435, 211112.38
528228455, 179126.75
528235200, 159917.86
528250040, 164377.06
528280230, 232628.98
528290120, 193386.92
528290190, 171940.47
528292030, 263245.5
528292040, 186322.44
528321010, 424268.25
528327070, 458723.09
528344040, 330581.97
528344100, 322359.66
528385050, 235388.38
528390100, 348769.12
528427020, 254632.78
528435030, 264301.56
528441020, 237909.94
528441090, 473911.19
528458160, 367196.62
528477070, 261321.8
528480130, 212970.84
528488100, 183400.17
531363030, 168575.55
531375090, 139944.75
531379050, 230645.88
531382070, 258245.92
531385020, 206772.53
531452010, 123292.05
531452070, 173801.86
531453100, 167564.5
531475220, 175101.97
531479020, 76316.32
532353020, 133809.08
532353130, 140219.73
532354160, 133883.53
532354230, 109270.09
532478020, 343140.22
533135020, 209343.72
533210010, 162215.52
533223030, 172411.23
533236050, 153864.16
533254050, 230591.86
534125080, 155849.12
534128010, 204147.72
534128020, 234409.89
534129080, 197607
534129380, 146507.8
534250400, 206143.83
534275100, 122775.83
534276040, 112773.41
534278230, 171107.86
534451110, 126458.34
534475250, 176150.11
534477110, 135205.8
535105100, 176045.56
535126100, 136127.31
535154130, 141463.8
535175030, 142581.8
535175050, 155455.64
535301170, 168655.77
535303110, 140814.61
535304100, 137511.14
535325290, 104635.91
535352090, 129650.42
535378020, 104561.16
535382100, 139471.53
535383060, 67911.22
535425070, 198000.53
535452140, 120366.3
535453100, 144561.98
535454100, 109015.55
535476240, 131968.84
902103120, 152557.36
902103170, 105396.03
902109140, 132005.39
902110080, 148927.5
902134120, 127886.07
902301060, 124133.07
902329080, 119627.46
902477120, 91354.21
903200080, 220794.75
903201020, 143763.67
903226170, 135019.12
903231060, 54808.89
903400220, 184232.78
903429110, 139944.5
903451090, 150215.91
903475100, 114287.46
903476090, 103493.85
903481130, 94131.91
904301100, 149086.11
904351200, 128932.6
905101260, 168681.34
905103040, 170038.02
905103070, 139172.66
905107310, 144643.44
905200220, 139730.02
905450020, 163309.27
905451340, 93010.59
905452040, 145612.59
905476230, 129328.76
906223210, 250475.16
906226080, 142555.56
906230010, 271350.94
906340100, 338686
906340120, 282649.94
906378110, 223011.14
906380050, 210861.66
906380060, 294982.69
906380130, 239054.7
906392130, 169965.89
906475070, 187533.81
907126010, 154397.47
907126050, 136526.95
907131090, 196240.28
907135040, 160321.34
907175100, 189275.16
907196060, 186761.8
907202050, 143215.09
